Edge	Weight
301 - 302	11
302 - 303	6
303 - 304	9
304 - 305	14
305 - 306	14
306 - 307	9
307 - 308	6
308 - 309	12
309 - 310	7
310 - 311	14
311 - 312	7
312 - 313	13
313 - 314	12
314 - 315	8
315 - 316	6
316 - 317	8
317 - 318	6
318 - 319	8
319 - 320	12
320 - 321	14
321 - 322	2
322 - 323	4
323 - 324	2
324 - 325	4
325 - 326	2
326 - 327	2
327 - 328	4
328 - 329	2
329 - 330	4
330 - 331	2
331 - 332	2
332 - 333	4
333 - 334	2
334 - 335	4
335 - 336	2
336 - 337	2
337 - 338	4
338 - 339	2
339 - 340	4
340 - 341	2
341 - 342	14
342 - 343	6
343 - 344	8
344 - 345	6
345 - 346	8
346 - 347	6
347 - 348	8
348 - 349	6
349 - 350	14
350 - 351	4
351 - 352	4
352 - 353	2
353 - 354	4
354 - 355	4
355 - 356	4
356 - 357	2
357 - 358	4
358 - 359	4
359 - 360	4
360 - 361	2
361 - 362	4
362 - 363	4
363 - 364	4
364 - 365	2
365 - 366	4
366 - 367	4
367 - 368	14
368 - 369	4
369 - 370	6
370 - 371	4
371 - 372	4
372 - 373	6
373 - 374	4
374 - 375	4
375 - 376	6
376 - 377	4
377 - 378	4
378 - 379	6
379 - 380	4
380 - 381	14
381 - 382	10
382 - 383	4
383 - 384	10
384 - 385	4
385 - 386	10
386 - 387	4
387 - 388	10
